shop,ProductID,name,category,price,url,collection_date
Brickmo,60312.0,LEGO City 60312 Police Car 60312,Lego City,8.26,https://www.brickmo.com/en/new-at-brickmo/lego/43997/lego-city-60312-police-car-60312?c=5983,2026-07-19
Brickmo,60480.0,LEGO City 60480 Yellow Backhoe Loader 60480,Lego City,22.17,https://www.brickmo.com/en/new-at-brickmo/lego/87158/lego-city-60480-yellow-backhoe-loader-60480?c=5983,2026-07-19
Brickmo,60502.0,LEGO City 60502 Airport with Airplane 60502,Lego City,80.55,https://www.brickmo.com/en/new-at-brickmo/lego/82875/lego-city-60502-airport-with-airplane-60502?c=5983,2026-07-19
Brickmo,60373.0,LEGO City 60373 Fire Rescue Boat 60373,Lego City,15.49,https://www.brickmo.com/en/new-at-brickmo/lego/51187/lego-city-60373-fire-rescue-boat-60373?c=5983,2026-07-19
Brickmo,60454.0,LEGO City Fahrzeuge 60454 Holiday Adventure...,Lego City,22.68,https://www.brickmo.com/en/new-at-brickmo/lego/72178/lego-city-fahrzeuge-60454-holiday-adventure-camper-van-60454?c=5983,2026-07-19
Brickmo,60430.0,LEGO City 60430 Interstellar Spaceship 60430,Lego City,14.97,https://www.brickmo.com/en/new-at-brickmo/lego/59083/lego-city-60430-interstellar-spaceship-60430?c=5983,2026-07-19
Brickmo,60484.0,LEGO City 60484 Rides – Gaming Race Car 60484,Lego City,7.49,https://www.brickmo.com/en/new-at-brickmo/lego/82898/lego-city-60484-rides-gaming-race-car-60484?c=5983,2026-07-19
Brickmo,60419.0,LEGO City 60419 Police Prison Island 60419,Lego City,78.48,https://www.brickmo.com/en/new-at-brickmo/lego/59078/lego-city-60419-police-prison-island-60419?c=5983,2026-07-19
Brickmo,60414.0,LEGO City 60414 Fire Station with Fire Truck 60414,Lego City,61.95,https://www.brickmo.com/en/new-at-brickmo/lego/59070/lego-city-60414-fire-station-with-fire-truck-60414?c=5983,2026-07-19
Brickmo,60483.0,LEGO City 60483 Rides – Construction Loader 60483,Lego City,7.49,https://www.brickmo.com/en/new-at-brickmo/lego/82899/lego-city-60483-rides-construction-loader-60483?c=5983,2026-07-19
Brickmo,60479.0,LEGO City 60479 Police Prisoner Transport Van...,Lego City,16.01,https://www.brickmo.com/en/new-at-brickmo/lego/82893/lego-city-60479-police-prisoner-transport-van-60479?c=5983,2026-07-19
Brickmo,60465.0,LEGO City 60465 Emergency Air Ambulance...,Lego City,40.25,https://www.brickmo.com/en/new-at-brickmo/lego/77966/lego-city-60465-emergency-air-ambulance-airplane-60465?c=5983,2026-07-19
Brickmo,60312.0,LEGO City 60312 Police Car 60312,Lego City,8.26,https://www.brickmo.com/en/new-at-brickmo/lego/43997/lego-city-60312-police-car-60312?c=5983,2026-07-19
Brickmo,60480.0,LEGO City 60480 Yellow Backhoe Loader 60480,Lego City,22.17,https://www.brickmo.com/en/new-at-brickmo/lego/87158/lego-city-60480-yellow-backhoe-loader-60480?c=5983,2026-07-19
Brickmo,60502.0,LEGO City 60502 Airport with Airplane 60502,Lego City,80.55,https://www.brickmo.com/en/new-at-brickmo/lego/82875/lego-city-60502-airport-with-airplane-60502?c=5983,2026-07-19
Brickmo,60373.0,LEGO City 60373 Fire Rescue Boat 60373,Lego City,15.49,https://www.brickmo.com/en/new-at-brickmo/lego/51187/lego-city-60373-fire-rescue-boat-60373?c=5983,2026-07-19
Brickmo,60454.0,LEGO City Fahrzeuge 60454 Holiday Adventure...,Lego City,22.68,https://www.brickmo.com/en/new-at-brickmo/lego/72178/lego-city-fahrzeuge-60454-holiday-adventure-camper-van-60454?c=5983,2026-07-19
Brickmo,60430.0,LEGO City 60430 Interstellar Spaceship 60430,Lego City,14.97,https://www.brickmo.com/en/new-at-brickmo/lego/59083/lego-city-60430-interstellar-spaceship-60430?c=5983,2026-07-19
Brickmo,60484.0,LEGO City 60484 Rides – Gaming Race Car 60484,Lego City,7.49,https://www.brickmo.com/en/new-at-brickmo/lego/82898/lego-city-60484-rides-gaming-race-car-60484?c=5983,2026-07-19
Brickmo,60419.0,LEGO City 60419 Police Prison Island 60419,Lego City,78.48,https://www.brickmo.com/en/new-at-brickmo/lego/59078/lego-city-60419-police-prison-island-60419?c=5983,2026-07-19
Brickmo,60414.0,LEGO City 60414 Fire Station with Fire Truck 60414,Lego City,61.95,https://www.brickmo.com/en/new-at-brickmo/lego/59070/lego-city-60414-fire-station-with-fire-truck-60414?c=5983,2026-07-19
Brickmo,60483.0,LEGO City 60483 Rides – Construction Loader 60483,Lego City,7.49,https://www.brickmo.com/en/new-at-brickmo/lego/82899/lego-city-60483-rides-construction-loader-60483?c=5983,2026-07-19
Brickmo,60479.0,LEGO City 60479 Police Prisoner Transport Van...,Lego City,16.01,https://www.brickmo.com/en/new-at-brickmo/lego/82893/lego-city-60479-police-prisoner-transport-van-60479?c=5983,2026-07-19
